title,heading,content,tokens
Argentina at the FIFA World Cup,Shared,"Most played against the same team: 7 times versus Germany in 1958, 1966, 1986, 1990, 2006, 2010 and 2014. Shared with Germany vs Yugoslavia/Serbia and Brazil vs Sweden.
Most won penalty shoot-outs: 6 times (twice in 1990, 1998, 2014 and twice in 2022).
Most coached finals: 2 times by Carlos Bilardo in 1986 and 1990. Shared with Italian Vittorio Pozzo (1934-1938), German Helmut Schön (1966-1974), Brazilian Mário Zagallo (1970-1998) German Franz Beckenbauer who faced Bilardo in both two in 1986 and 1990, and French Didier Deschamps (2018-2022).",150
Argentina at the FIFA World Cup,Miscellaneous,"Argentina's game versus West Germany in 1958 featured a yellow jersey instead of the traditional light blue and white colors or blue as alternate. This was because both teams wore white jerseys, creating confusion. As the South American side forgot to bring an alternate one, they decided to borrow jerseys from local team club Malmö. Germany won 3–1.In the 1978 France - Hungary match something similar occurred. Both teams arrived to the match with white jerseys, so France was forced to borrow jerseys from Mar del Plata's local club Kimberley. France wore striped green and white keeping the traditional blue shorts and red socks. France won 3–1.The stadium José María Minella is the southernmost World Cup venue located at 38°0′0″S 57°33′0″W. Including France vs. Hungary, several matches of the 1978 World Cup were played in this stadium. Mar del Plata is in the south of Buenos Aires Province.In addition, Argentina played against Nigeria at Krestovsky Stadium, Saint Petersburg in 2018 making it the northernmost game along other six matches. The Russian city is at 59°58′22.63″N 30°13′13.92″E.",249
Argentina at the FIFA World Cup,Referees,"As a major CONMEBOL member, Argentina has been represented by match officials in nearly every tournament. In 2006, Horacio Elizondo refereed the final between France and Italy, where he sent off Zinedine Zidane after a headbutt to an opponent. In 2018, Néstor Pitana did it when France played versus Croatia. They are also the only two who refereed the opening game in the same tournament.",93
2022 African Nations Championship,Summary,"The 2022 African Nations Championship, known as the 2022 CHAN for short and the TotalEnergies African Nations Championship for sponsorship purposes, was the 7th edition of the biennial association football tournament organized by the Confederation of African Football (CAF), featuring national teams consisting of players currently playing in their respective local leagues. It was held in Algeria from 13 January to 4 February 2023.
Originally scheduled from 10 July to 1 August 2022, CAF rescheduled the tournament to January 2023 following an announcement at an executive committee meeting held on 10 September 2020 via video conferencing, citing the postponement of the 2020 edition to 2021 and the 2021 Africa Cup of Nations to 2022 due to the COVID-19 pandemic in Africa as well as the already-scheduled 2022 FIFA World Cup in November – December 2022.Eighteen teams were supposed to be contesting in this edition, which would have been an increase of 2 teams from the previous edition in 2020; but defending champions Morocco were unable to defend their title due to political tensions with Algerian authorities which began with Algeria's unilaterally decision in 2021 to close its airspace to Moroccan flights, including and especially its official carrier Royal Air Maroc. 
Senegal won their first title, following on from their inaugural Africa Cup of Nations title win a year earlier, 5–4 on penalties against host nation Algeria in the final.",284
2022 African Nations Championship,Qualified teams,"The following teams qualified for the main tournament:
Morocco was originally set to take part in the tournament with their under-23 national team after their local national team was officially disbanded by the FRMF on 31 August 2022. However, the team announced their withdrawal from the tournament on 12 January 2023, after hosts Algeria refused to allow the squad to take a direct flight from Rabat to Constantine via their flag carrier sponsor, Royal Air Maroc.",94
2022 African Nations Championship,Mascot,"Algeria took the fennec fox as a mascot for the championship and named it ""COBTAN"". And the slogan of the edition was ""CHAN fi bled a chène"" (CHAN in the country of glory).",53
2022 African Nations Championship,Venues,"This edition of the tournament was confirmed by the Algerian Football Federation 1 August 2020 to be held in four venues at four cities across host nation Algeria: Algiers, Oran, Constantine and Annaba.
Team base camps",49
2022 African Nations Championship,Draw,"The draw for this edition was held at Boualem Bessaiah Opera House in the host nation's capital, Algiers, on 1 October 2022 at 18:00 WET (UTC±0).The 18 teams were drawn into three groups of four teams and two groups of three. Hosts Algeria were seeded in Group A (A1) and defending champions Morocco were seeded in Group C (C1), with the remaining teams were seeded based on their results the four previous editions of the tournament: 2014 (multiplied by 1), 2016 (by 2), 2018 (by 3) and 2020 (by 4):

7 points for winner
5 points for runner-up
3 points for semi-finalists
2 points for quarter-finalists
1 point for group stageBased on the formula above, the four pots were allocated as follows:",177
2022 African Nations Championship,Goalscorers,"There were 55 goals scored in 29 matches, for an average of 1.9 goals per match.
5 goals

3 goals

2 goals

1 goal

1 own goal",43
List of football federations,Global,"FIFA - Fédération Internationale de Football Association - 211 members - founded in 1904, represents nations from around the world, and is the overall governing body of recognised international football. Its premier tournament is the quadrennial FIFA World Cup.
ConIFA - Confederation of Independent Football Associations - 24 members - founded in 2013, represents nations, dependencies, unrecognized states, minorities and regions not affiliated to FIFA. The main tournament is the ConIFA World Football Cup.",101
List of football federations,Defunct,"NF-Board - New Federation Board - 18 members + 14 provisional - founded in 2003,  represents nations, dependencies, unrecognized states, minorities, stateless peoples, regions and micronations not affiliated to FIFA. The main tournament was the VIVA World Cup. This organization was dissolved in January 2013.",66
List of football federations,FIFA Confederations,"FIFA-member football associations are formed together into continental confederations, which organize continental national and club competitions.

AFC - Asian Football Confederation - 47 members - founded in 1954, represents Asian nations in football. The main tournament is the AFC Asian Cup.
CAF - Confederation of African Football - 54 members + 2 associate - founded in 1957 - represents African nations in football. The main tournament is the African Cup of Nations.
CONCACAF - Confederation of North, Central American and Caribbean Association Football - 41 members - founded in 1961 represents North American, Central American and Caribbean nations. The main tournament is the CONCACAF Gold Cup.
CONMEBOL - Confederación Sudamericana de Fútbol - 10 members - founded in 1916 represents South American nations in football. The main tournament is the Copa América.
OFC - Oceania Football Confederation - 11 members + 2 associate - founded in 1966 represents Oceanian nations in football. The main tournament is the OFC Nations Cup.
UEFA - Union of European Football Associations - 55 members  - founded in 1954 represents European nations in football. The main tournament is the UEFA European Championship, also known as UEFA Euro.",254
List of football federations,Non-FIFA Confederations,"Two continental confederations exist within the NF-Board.

CSANF - Consejo Sudamericano de Nuevas Federaciones - 4 members + 1 associate - founded in 2007 represents teams not affiliated to FIFA in South America.",55
List of football federations,Inter-continental,"The following confederations consist of FIFA member associations that cross continental boundaries.

UAFA - Union of Arab Football Associations - 22 members - founded in 1974, represents Arab nations from Africa and Asia. The main tournament is the Arab Cup.",53
List of football federations,Africa,"Affiliated to CAF

CECAFA-Council of East and Central African Football Associations - 10 members + 1 associate -  founded in 1927, represents nations generally regarded as forming the regions of East Africa and some nations of Central Africa. The main tournament is the CECAFA Cup.
COSAFA - Council of Southern African Football Associations - 14 members + 1 associate - founded in 1997, represents nations generally regarded as forming Southern Africa, as well as island states off the coast of Southern Africa. The main tournament is the COSAFA Cup.
WAFU (UFOA) - Union of West African Football Associations - 8 members - founded in 1977, one of two bodies that represent nations in West Africa. The main tournament is the WAFU Nations Cup.
UNAF - Union of North African Federations - 5 members - founded in 2005, represents nations regarded as forming North Africa.
UNIFFAC - Central African Football Federations' Union - 8 members - represents some of the nations that form Central Africa. The main tournament is the CEMAC Cup.",229
List of football federations,Asia,"Affiliated to AFC

WAFF - West Asian Football Federation - 12 members - founded in 2000, represents nations at the western extremity of the continent. The main tournament is the WAFF Championship.
AGCFF - Arab Gulf Cup Football Federation - 8 members - founded in 2016, represents the participating nations of the Arabian Gulf Cup, all of which are also members of WAFF.
EAFF - East Asian Football Federation - 10 members - founded in 2002, represents nations generally agreed to constitute the ""far east"". The main tournament is the EAFF E-1 Football Championship.
SAFF - South Asian Football Federation - 7 members - founded in 1997, represents nations from South Asia. The main tournament is the SAFF Championship.
CAFA - Central Asian Football Association - 6 members - founded in 2015, represents nations from Central Asia. The main tournament is the CAFA Championship.
AFF - ASEAN Football Federation - 12 members - founded in 1984, represents nations from Southeast Asia. The main tournament is the AFF Championship.",216
List of football federations,North America,"Affiliated to CONCACAF

CFU - Caribbean Football Union - 30 members -  represents all nations in the Caribbean. The main tournament is the Caribbean Cup.
LIFA - Leeward Islands Football Association - 11 members - founded in 1949, represents nations of the Leeward archipelago and is affiliated to CFU. The main tournament is the Leeward Islands Tournament.
WIFA - Windward Islands Football Association - 4 members - represents nations of the Windward archipelago and is affiliated to CFU. The main tournament is the Windward Islands Tournament.
NAFU - North American Football Union - 3 members - represents the three sovereign nations of North America. The main tournament was the now defunct North American Nations Cup.
UNCAF Union Centroamericana de Fútbol - 7 members - represents the seven nations of Central America. The main tournament is the UNCAF Nations Cup.",193
2002 FIFA World Cup,Summary,"The 2002 FIFA World Cup, also branded as Korea Japan 2002, was the 17th FIFA World Cup, the quadrennial football world championship for men's national teams organized by FIFA. It was held from 31 May to 30 June 2002 at sites in South Korea and Japan, with its final match hosted by Japan at International Stadium in Yokohama.
A field of 32 teams qualified for this World Cup, which was the first to be held in Asia, the first to be held outside of the Americas or Europe, as well as the first to be jointly-hosted by more than one nation. China, Ecuador, Senegal, and Slovenia made their World Cup debuts. 
The tournament had several upsets and surprise results, which included the defending champions France being eliminated in the group stage after earning a single point without scoring a goal and second favourites Argentina also being eliminated in the group stage. South Korea managed to reach the semi-finals, beating  Poland, Portugal, Italy and Spain en route. They became the first team from outside of the UEFA, CONMEBOL, and CONCACAF regions to reach the semi-finals of a World Cup. However, the most potent team at the tournament, Brazil, prevailed, winning the final against Germany 2–0, making them the first and only country to have won the World Cup five times. The victory qualified Brazil for the 2003 and subsequently 2005 FIFA Confederations Cups, its fourth and fifth Confederations Cup appearance in a row. In the third place play-off match against South Korea, Turkey won 3–2, taking third place in only their second ever FIFA World Cup, and scored the fastest goal in the FIFA World Cup history (10.8 seconds after kick-off).The 2002 World Cup was also the last one to use the golden goal rule and the last one to use the same ball for all matches. Starting in 2006 and continuing to the present, a ball with the same technical specifics but different colors has been used in the final.",411
2002 FIFA World Cup,Host selection,"South Korea and Japan were selected as hosts by FIFA on 31 May 1996. Initially, South Korea, Japan and Mexico presented three rival bids. South Korea's entry into the race was seen by some as a response to the bid of political and sporting rival Japan. FIFA leaders were split on whom to favor as host as politics within the world governing body held sway. With Mexico regarded as a long shot, the battle to host the tournament came down to South Korea and Japan. The two Asian rivals went on a massive and expensive PR blitz around the world, prompting Sultan Ahmad Shah, the head of the Asian Football Confederation, to step in. FIFA boss João Havelange had long backed the Japanese bid, but his rival in FIFA, UEFA chief Lennart Johansson, sought to undermine Havelange's plans. UEFA and the AFC viewed co-hosting between the two Asian rivals as the best option. South Korea and Japan were finally faced with a choice of having no World Cup or a shared World Cup and they reluctantly chose to go along with co-hosting. South Korea and Japan were chosen unanimously as co-hosts in preference to Mexico. This was the first World Cup to be hosted by more than one country, the second being the 2026 World Cup, which will be hosted by the United States, Mexico and Canada. This is also the first ever World Cup to be hosted in Asia, the other being the 2022 World Cup, hosted by Qatar, twenty years later. The general secretary of South Korea's bidding committee, Song Young-shik, stated that FIFA was interested in staging some matches in North Korea in order to aid Korean reunification, but it was ruled out.At the time the decision was made, Japan had never qualified for a World Cup finals (although the Japanese did subsequently qualify for the 1998 competition). The only other countries to have been awarded a World Cup without previously having competed in a final tournament are Italy in 1934 and Qatar in 2022 (Uruguay hosted the first World Cup in 1930 so there was no prior tournament; they were defending Olympic champions from 1928).
The unusual choice of host proved an issue for football fans in Europe, used to watching international matches on or close to their time zone. With games taking place in the European morning, some schools and businesses chose to open late on match days or set up communal watching events before the start of work.",486
2002 FIFA World Cup,Qualification,"199 teams attempted to qualify for the 2002 World Cup. The qualification process began with the preliminary draw held in Tokyo on 7 December 1999. Defending champions France and co-hosts South Korea and Japan qualified automatically and did not have to play any qualification matches. This was the final World Cup in which the defending champions qualified automatically.14 places were contested by UEFA teams (Europe), five by CAF teams (Africa), four by CONMEBOL teams (South America), four by AFC teams (Asia) and three by CONCACAF teams (North and Central America and the Caribbean). The remaining two places were decided by playoffs between AFC and UEFA and between CONMEBOL and OFC (Oceania). Four nations qualified for the finals for the first time: China, Ecuador, Senegal and Slovenia. As of 2022, this was the last occasion on which the Republic of Ireland and Turkey qualified for a FIFA World Cup finals, and the only time that China have qualified, as well as the last time that Australia and Switzerland failed to qualify.
Turkey qualified for the first time since 1954, Poland and Portugal both qualified for the first time since 1986 and Costa Rica and Uruguay qualified for the first time since 1990. Sweden, Russia and the Republic of Ireland also returned after missing the 1998 World Cup. 1998 semi-finalists the Netherlands, three-time participants in the 1990s Romania and Colombia, and Bulgaria, Morocco and Norway, who had participated in the previous two finals tournaments, alongside Chile, Scotland and Iran which participated in the latest edition, failed to qualify, while South Korea set a record by appearing in a fifth successive finals tournament, the first nation from outside Europe or the Americas to achieve this feat.
All seven previous World Cup-winning nations (Argentina, Brazil, England, France, Germany, Italy, and Uruguay) qualified, which broke the record of most previous champions at a tournament before the record was broken again in 2014. The highest ranked team not to qualify for the finals was Colombia (ranked 4th), while the lowest ranked team that did qualify was China PR (ranked 50th).",431
2002 FIFA World Cup,Venues,"South Korea and Japan each provided 10 venues, the vast majority of them newly built for the tournament. Groups A–D played all their matches in South Korea and Groups E–H played all their matches in Japan. The stadiums in Daegu, Suwon, Yokohama and Saitama all hosted 4 matches each, while the other 16 stadiums hosted 3 matches each. Notably, no matches were played in Tokyo, making it the first capital of a host country not to have a World Cup venue.
A cross denotes an indoor stadium.",112
2002 FIFA World Cup,Match officials,"There was much controversy over the refereeing in the tournament. Questionable decisions in the match between Italy and South Korea resulted in 400,000 complaints, and featured in ESPN's 10 most fabled World Cup controversies. The match between Spain and South Korea featured two controversially disallowed Spanish goals, which Iván Helguera referred to as ""a robbery"" and led to Spanish press brandishing the officials ""thieves of dreams"", though FIFA dismissed the incident as human error.",99
2002 FIFA World Cup,Draw,"The FIFA Organising Committee announced the eight seeded teams on 28 November 2001. The historic tradition to seed the hosts (Japan and South Korea) and holders (France) was upheld; while the remaining five seeds were granted to the other five of the top six teams, ranked by their results in the last three FIFA World Cups (ratio 3:2:1) and their FIFA World Ranking position in the last month of the past three years (equal ratio).For the draw, the 32 teams were allocated into four pots; the eight top-seeded teams, were allocated in pot 1 and would be drawn/selected into the first position of the eight groups playing in the group stage. The remaining 24 unseeded teams, were allocated into three pots based on geographical sections, with the: 11 European teams in pot 2; two Asian teams and three South American teams in pot 3; three North American teams and five African teams in pot 4.The general principle was to draw one team from each pot into the eight groups, although with special combined procedures for pot 2 and pot 3, due to comprising more/less than eight teams - but sixteen teams in total. At the same time, the draw also needed to respect the geographical limitation, that each group could not feature more than one team from each confederation, except for the European teams where the limitation was maximum two per group. Finally, special limitations were also stipulated to evenly distribute the presence of teams from each confederation between the groups playing respectively in Korea (group A-D) and Japan (group E-H); while China for political considerations only could be drawn for one of the groups playing in Korea.
The draw took place at Busan Exhibition and Convention Center in South Korea, and was televised live on 1 December 2001: World Cup Draw 2002 on RTÉ.The FIFA Organising Committee decided ahead of the draw, to place the defending champions (France) in Group A; while the co-hosts South Korea and Japan were placed respectively in Group D and Group H. The procedure for the draw comprised the following six steps:
Pot 1 was used to draw, in alphabetic group order, the remaining five top-seeded teams for the first position of groups B, C, E, F and G; while respecting the restriction that one of the two South American seeds (Brazil and Argentina) had to play in a group played in South Korea (B/C) and the other had to play in a group played in Japan (E/F/G).
Pot 2 was used to draw one European team to each of the eight groups (drawing unrestricted in the alphabetic order from A to H).
As per the FIFA rule of only allowing a maximum of two European teams in each group, the remaining three European teams from Pot 2, was subject to a second draw, to be put in either of the four groups containing a top-seeded South American team or Asian team. This was done by first drawing the European team from Pot 2, and then drawing which seeded opponent the European team should be paired with, from a special bowl with four blue balls containing the names of Brazil, Argentina, Japan and South Korea.
Pot 3 was used to draw one team to each of the five groups with an empty third slot (drawing in alphabetical order from A to H); while respecting the geographical restrictions, that:
None of the unseeded South American teams (Ecuador, Paraguay, Uruguay) from pot 3, could be drawn into a group with a seeded South American team (Brazil and Argentina).
None of the unseeded Asian teams (Saudi Arabia and China) from pot 3, could be drawn into a group with a seeded Asian team (South Korea and Japan in Group D and H); along with the overall rule that China had to play in South Korea (meaning either group A, B or C) and that Saudi Arabia had to play in Japan (meaning either group E, F or G).
Pot 4 was used to draw one team to each of the eight groups (drawing in the alphabetic order from A to H); while respecting the restrictions that:
Minimum one North American team and minimum two African teams should be drawn to a group located in South Korea (Group A/B/C/D)
Minimum one North American team and minimum two African teams should be drawn to a group located in Japan (Group E/F/G/H)
To decide the match schedules, the exact group position number for the un-seeded teams in each group (2, 3 or 4), were also drawn immediately from eight special group bowls, after each respective team had been drawn from pot 2, 3 and 4.Besides of drawing the teams, the event also featured American vocalist Anastacia giving a debut public performance of the official song of the World Cup: Boom.",994
2002 FIFA World Cup,Draw results and group fixtures,"The draw resulted in the following eight groups:

In each group, the teams played three matches, one against each of the other teams. Victories were granted 3 points, while a draw was equal to 1 point. After completion of the Group stage, the best two teams of each group advanced to the Round of 16 in the knockout stage, in a way so all group winners started out meeting a runner-up from one of the other groups. This format was identical with the tournament structure being used in 1998. A total of 64 games were played, including the final and a bronze medal game between the two semifinale losers.
Group F was considered the group of death, as it brought together Argentina, England, Nigeria and Sweden.The fixtures for the Group stage were decided based on the draw results, as follows:",173
2002 FIFA World Cup,Group stage,"All times are Korea Standard Time and Japan Standard Time (UTC+9)

Groups A, B, C and D based in South Korea. Groups E, F, G and H based in Japan.
In the following tables:

Pld = total games played
W = total games won
D = total games drawn (tied)
L = total games lost
GF = total goals scored (goals for)
GA = total goals conceded (goals against)
GD = goal difference (GF−GA)
Pts = total points accumulatedThe teams in the group play were ranked upon

Points
Greatest total goal difference in the three group matches
Greatest number of goals scored in the three group matches
Most points earned in matches against other teams in the tie
Greatest goal difference in matches against other teams in the tie
Greatest number of goals scored in matches against other teams in the tie
Drawing of lotsIn the original version of the rules for the final tournament, the ranking criteria were in a different order, with head-to-head results taking precedence over total goal difference. The rules were changed to the above in advance of the tournament, but older versions were still available on the FIFA and UEFA websites, causing some confusion among those trying to identify the correct criteria.",274
2002 FIFA World Cup,Knockout stage,"For the second round, quarter-finals and semi-finals, the qualifiers from Groups A, C, F and H played their games in Japan while the qualifiers from Groups B, D, E and G played their games in South Korea. Daegu, South Korea, hosted the third-place match while Yokohama, Japan, hosted the final.",74
2002 FIFA World Cup,Round of 16,"In the round of 16, Germany beat Paraguay 1–0 with a late goal by Oliver Neuville in Seogwipo. England defeated Denmark in Niigata 3–0, with all goals occurring in the first half of the game. Sweden and Senegal faced off in Ōita and finished 1–1 in regular time and it took a golden goal from Henri Camara in extra time to settle the game for Senegal 2–1, which lead to Senegal becoming only the second African team to reach the last eight (after Cameroon in 1990). Spain and the Republic of Ireland played in Suwon, where Spain led most of the match 1–0 until a late penalty kick scored by Robbie Keane made the match go to extra time, where Spain emerged victorious in a penalty shoot-out. The United States beat CONCACAF rivals Mexico 2–0 in Jeonju with Brian McBride and Landon Donovan scoring the goals. Brazil defeated Belgium 2–0 in Kobe, with an amazing volley by Rivaldo and a splendid counter-attack goal by Ronaldo. Turkey ended co-hosts Japan's run with a 1–0 win in Miyagi, thanks to an Ümit Davala goal in the 12th minute. The other co-hosts, South Korea, defeated Italy 2–1 in extra time in Daejeon with a goal by Ahn Jung-hwan in the 117th minute. South Korea's win ensured that, for the very first time in the Cup's history, teams from five continents – Europe, North America, South America, Africa and Asia – reached the quarter-finals of the same tournament.",337
2002 FIFA World Cup,Quarter-finals,"In the quarter-finals, England and Brazil squared off in Shizuoka, where Ronaldinho scored a free-kick goal over England's David Seaman early in the second half as Brazil won 2–1. The United States lost to Germany 1–0 in Ulsan by a Michael Ballack goal in the 39th minute, but controversy surrounded the game when United States demanded the referee give a penalty for a goal-line handball by Torsten Frings in the 49th minute, but the referee did not award the penalty. South Korea got another success in Gwangju in a controversial manner, overcoming Spain 5–3 on penalties after a 0–0 draw in which the Spaniards twice thought they had scored while onside; however, the efforts were disallowed by the referee with controversial decisions. While the decisions were marginal, in both incidents the Korean players stopped playing after seeing the flag raised, allowing the goals to be scored. The hosts became the first team in the Asian Football Confederation to reach the semi-finals of the World Cup, eclipsing the record of their North Korean counterparts who reached the quarter-finals in 1966. They also became the first World Cup semi-final team not from UEFA or CONMEBOL since the United States did it in the first World Cup in 1930. Turkey defeated Senegal 1–0 in Osaka, with a golden goal scored by İlhan Mansız in the 94th minute.",295
2002 FIFA World Cup,Semi-finals,"The semi-finals saw 1–0 games; the first semi-final, played in Seoul, saw Michael Ballack's goal suffice for Germany to eliminate South Korea. However, Ballack had already received a yellow card during the match before, which forced him to miss the final based on accumulated yellow cards. The next day in Saitama saw Ronaldo score a goal early in the second half, his sixth of the competition for Brazil, to defeat Turkey in a replay of their Group C encounter.",103
2002 FIFA World Cup,Third place play-off,"In the third-place match in Daegu, Turkey beat the South Koreans 3–2, their first goal coming from Hakan Şükür straight from the opening kick-off (even though South Korea kicked off) in 10.8 seconds, the fastest ever goal in World Cup history.",65
2002 FIFA World Cup,Final,"In the final match held in Yokohama, Japan, two goals from Ronaldo secured the World Cup for Brazil as they claimed victory over Germany. Ronaldo scored twice in the second half and, after the game, won the Golden Shoe award for the tournament's leading scorer with eight goals. This was the fifth time Brazil had won the World Cup, cementing their status as the most successful national team in the history of the competition. Brazil became the only team since Argentina in 1986 to win the trophy without needing to win a penalty shoot-out at some stage during the knockout phase and the total number of penalty shoot-outs (2) was the lowest since the four-round knockout format was introduced in 1986. Brazil also became the first team to win every match at a World Cup since 1970 and set a new record for highest aggregate goal difference (+14) for a World Cup winner. Brazil's captain Cafu, who became the first player to appear in three successive World Cup finals, accepted the trophy on behalf of the team.",210
2002 FIFA World Cup,Goalscorers,"Ronaldo won the Golden Shoe after scoring eight goals. In total, 161 goals were scored by 109 players, with three of them credited as own goals. Two of those own goals were in the same match, marking the first time in FIFA World Cup history that own goals had been scored by both teams in the same match.",69
