title,heading,content,tokens
2002 FIFA World Cup,Quarter-finals,"In the quarter-finals, England and Brazil squared off in Shizuoka, where Ronaldinho scored a free-kick goal over England's David Seaman early in the second half as Brazil won 2–1. The United States lost to Germany 1–0 in Ulsan by a Michael Ballack goal in the 39th minute, but controversy surrounded the game when United States demanded the referee give a penalty for a goal-line handball by Torsten Frings in the 49th minute, but the referee did not award the penalty. South Korea got another success in Gwangju in a controversial manner, overcoming Spain 5–3 on penalties after a 0–0 draw in which the Spaniards twice thought they had scored while onside; however, the efforts were disallowed by the referee with controversial decisions. While the decisions were marginal, in both incidents the Korean players stopped playing after seeing the flag raised, allowing the goals to be scored. The hosts became the first team in the Asian Football Confederation to reach the semi-finals of the World Cup, eclipsing the record of their North Korean counterparts who reached the quarter-finals in 1966. They also became the first World Cup semi-final team not from UEFA or CONMEBOL since the United States did it in the first World Cup in 1930. Turkey defeated Senegal 1–0 in Osaka, with a golden goal scored by İlhan Mansız in the 94th minute.",295
2002 FIFA World Cup,Semi-finals,"The semi-finals saw 1–0 games; the first semi-final, played in Seoul, saw Michael Ballack's goal suffice for Germany to eliminate South Korea. However, Ballack had already received a yellow card during the match before, which forced him to miss the final based on accumulated yellow cards. The next day in Saitama saw Ronaldo score a goal early in the second half, his sixth of the competition for Brazil, to defeat Turkey in a replay of their Group C encounter.",103
2002 FIFA World Cup,Third place play-off,"In the third-place match in Daegu, Turkey beat the South Koreans 3–2, their first goal coming from Hakan Şükür straight from the opening kick-off (even though South Korea kicked off) in 10.8 seconds, the fastest ever goal in World Cup history.",65
2002 FIFA World Cup,Final,"In the final match held in Yokohama, Japan, two goals from Ronaldo secured the World Cup for Brazil as they claimed victory over Germany. Ronaldo scored twice in the second half and, after the game, won the Golden Shoe award for the tournament's leading scorer with eight goals. This was the fifth time Brazil had won the World Cup, cementing their status as the most successful national team in the history of the competition. Brazil became the only team since Argentina in 1986 to win the trophy without needing to win a penalty shoot-out at some stage during the knockout phase and the total number of penalty shoot-outs (2) was the lowest since the four-round knockout format was introduced in 1986. Brazil also became the first team to win every match at a World Cup since 1970 and set a new record for highest aggregate goal difference (+14) for a World Cup winner. Brazil's captain Cafu, who became the first player to appear in three successive World Cup finals, accepted the trophy on behalf of the team.",210
2002 FIFA World Cup,Goalscorers,"Ronaldo won the Golden Shoe after scoring eight goals. In total, 161 goals were scored by 109 players, with three of them credited as own goals. Two of those own goals were in the same match, marking the first time in FIFA World Cup history that own goals had been scored by both teams in the same match.",69
2002 FIFA World Cup,Disciplinary statistics,"Total number of yellow cards: 272 
Average yellow cards per match: 4.25 
Total number of red cards: 17 
Average red cards per match: 0.27 
First yellow card of the tournament:Emmanuel Petit for France against Senegal 
First red card of the tournament:Boris Živković for Croatia against Mexico 
Fastest yellow card from kick off: 2 minutes  Henri Camara for Senegal against Uruguay, Jesús Arellano for Mexico against Italy 
Fastest yellow card after coming on as a substitute: 3 minutes  Alberto García Aspe for Mexico against United States (introduced in the 78th minute) 
Latest yellow card in a match without extra time: 90+4 minutes  Pape Thiaw for Senegal against Sweden 
Latest yellow card in a match with extra time: 115 minutes  Choi Jin-cheul for South Korea against Italy 
Fastest dismissal from kick off: 22nd minute  Carlos Paredes for Paraguay against Slovenia 
Fastest dismissal of a substitute: 12 minutes  Shao Jiayi for China against Turkey (introduced in the 46th minute) 
Latest dismissal in a match without extra time: 90+4 minutes  Hakan Ünsal for Turkey against Brazil 
Latest dismissal in a match with extra time: 103 minutes  Francesco Totti for Italy against South Korea 
Shortest time difference between two yellow cards given to the same player: 3 minutes  Carsten Ramelow for Germany against Cameroon (booked in the 37th minute and again in the 40th minute) 
Most yellow cards (team): 19  Turkey 
Most red cards (team): 2  Paraguay, Portugal, Turkey 
Fewest yellow cards (team): 2  Nigeria 
Most yellow cards (player): 3  Michael Ballack, Emre Belözoğlu, Beto, Tugay Kerimoğlu, Francesco Totti 
Most red cards (player): 1  Roberto Acuña, Beto, Claudio Caniggia, Nastja Čeh, Salif Diao, Thierry Henry, Rafael Márquez, Alpay Özalan, Carlos Paredes, João Pinto, Carsten Ramelow, Ronaldinho, Shao Jiayi, Patrick Suffo, Francesco Totti, Hakan Ünsal, Boris Živković 
Most yellow cards (match): 16  Cameroon vs Germany 
Most red cards (match): 2  Brazil vs Turkey, Cameroon vs Germany, Slovenia vs Paraguay, Portugal vs South Korea 
Fewest yellow cards (match): 0  Croatia vs Mexico, Germany vs Republic of Ireland, Nigeria vs England 
Most cards in one match: 16 yellow cards and 2 red cards  Cameroon vs Germany",599
2002 FIFA World Cup,Ticket sales problem,"The original domestic ticket allocation had fully sold out and the organising committee completed sales of tickets returned from the international allocation by the end of April. However, there were a significant number of empty seats at the opening matches. It was gradually revealed that the World Cup Ticketing Bureau (WCTB) still had unsold tickets in its possession. After FIFA agreed to sell this inventory, JAWOC undertook sales over telephone and WCTB handled the internet sales. For the second round Japan vs. Turkey match in Miyagi in particular, although it was reported by both parties that all tickets had been sold, some 700 seats remained empty.",132
2002 FIFA World Cup,Mascot,"The official mascot of this World Cup was ""Ato, Kaz, and Nik"" (The Spheriks), orange, purple, and blue (respectively) futuristic, computer-generated creatures. Collectively, members of a team of ""Atmosball"" (a fictional football-like sport), Ato is the coach while Kaz and Nik are players. The three individual names were selected from shortlists by users on the Internet and at McDonald's outlets in the host countries.",101
2002 FIFA World Cup,Cultural event,"The official FIFA cultural event of the 2002 World Cup was a flag festival called Poetry of the Winds. Held in Nanjicheon Park, an area of the World Cup Park close to Seoul World Cup Stadium, Poetry of the Winds was exhibited from 29 May to 25 June in order to wish success upon the World Cup and promote a festive atmosphere. During the flag art festival, hand-painted flags from global artists were displayed as a greeting to international guests in a manner that was designed to promote harmony (2002 Flag Art Festival Executive Committee).",112
2002 FIFA World Cup,Concerns,"The World Cup was originally going to be hosted either in Japan or in South Korea, but in the end both rivals had decided to share the hosting duties thus making this World Cup the first to have multiple host nations. However, there were concerns regarding the selection of hosts due to logistical issues caused by fans traveling across two separate sovereign nations as well as whether some of the 20 stadiums to be constructed for the World Cup would be ready in time for it or not. While political and infrastructural problems were eventually overcome, there still remained the issue of East Asia's wet season which could disrupt the play. The timing of the tournament thus had been altered to mitigate as much as possible against such issues, with the tournament kicking off on May 31 and due to run until June 30, the earliest date for a World Cup final since 1986.The time difference caused issues for fans worldwide especially in Europe, where people had to go to work when matches were played.",194
2002 FIFA World Cup,Aftermath and legacy,"The tournament had a major economic impact on both South Korea and Japan, generating an estimated US$1.3 billion in revenue. Spending from World Cup tourists in South Korea created US$307 million in direct income and US$713 million in valued added. Japan spent an estimated US$5.6 billion on preparations for the event, which had a US$24.8 billion impact on the Japanese economy and accounted for 0.6% of their GDP in 2002.",98
2022 FIFA World Cup officials,Summary,"The following is a list of match officials (referees, assistant referees, and video assistant referees) who officiated at the 2022 FIFA World Cup in Qatar.FIFA appoints ten officials for each match of the tournament. This includes the on-site team of the referee, two assistant referees, the fourth official and the reserve assistant referee. At a centralised video operation room in Doha, the team of video match officials operate the video assistant referee (VAR) system. This team consists of the lead video assistant referee and three assistants, designated as the assistant VAR (AVAR1), the offside VAR (AVAR2) and the support VAR (AVAR3). Finally, a stand-by assistant VAR official is appointed for each match, used in case of a loss of connection between the stadium and the centralised video operation room. In such a scenario, a backup VAR room located in each stadium will be activated, with the fourth official serving as the video assistant referee (and the reserve assistant referee taking his place), and the stand-by assistant VAR serving as the assistant VAR.For the first time in the history of the FIFA World Cup, the FIFA Referees Committee has also appointed three female referees and three female assistant referees.",265
2022 FIFA World Cup officials,Referees and assistant referees,"On 19 May 2022, FIFA announced the list of 36 referees and 69 assistant referees from all six confederations for the 2022 FIFA World Cup. These were selected from an extended list of over 50 trios.On 15 December 2022, FIFA announced that Polish referee Szymon Marciniak would adjudicate the final.",69
List of 2022 FIFA World Cup controversies,Summary,"The decision for Qatar to host the 2022 FIFA World Cup created a number of concerns and controversies regarding both Qatar's suitability as a host country and the fairness of the FIFA World Cup bidding process. Some media outlets, sporting experts, and human rights groups have criticised Qatar's record of human rights violations; Qatar's limited football history; the high expected cost; the local climate; and alleged bribery in the bidding process. Not all nations competing have put focus on concerns.Criticism of human rights in Qatar focused on the treatment of migrant workers, women, and position on LGBT rights, leading to allegations of sportswashing. Others have cited Qatar's intense climate and lack of a strong football culture, as well as evidence of bribery for hosting rights and wider FIFA corruption. Boycotts of the event were declared by several countries, clubs, and individual players, while former FIFA President Sepp Blatter has twice said that giving Qatar hosting rights was a ""mistake"". Match attendance figures have also come under scrutiny as reported crowd attendances have exceeded stadium capacities despite games having visible empty seats.Incumbent FIFA President Gianni Infantino has defended the hosting of the tournament in Qatar. Others have suggested that Qatar's human rights record is better than those of Russia and China, nations which received less widespread criticism for similar issues when hosting major sporting events in the years prior to the 2022 FIFA World Cup. The controversies surrounding the World Cup in Qatar have been described as a cultural conflict or ""Clash of Civilizations"" between authoritarian Islamic regimes and secular liberal democracies. The Qatari tournament is widely regarded as one of the most controversial FIFA World Cups in history.",335
List of 2022 FIFA World Cup controversies,Human rights issues,"There have been criticisms of perceived human rights violations related to the organisation and hosting of the 2022 FIFA World Cup in Qatar. There have long been concerns for the state of human rights in Qatar, with the state accused of sportswashing in hosting the World Cup. A large concern in Qatar's hosting of the World Cup was the conditions of migrant workers brought in to build the required infrastructure, including indentured servitude and working conditions leading to deaths. FIFA's decision drew overall criticism for Qatar's lack of human rights protections for women, migrant workers, lesbians, gay, bisexuals, transgender (LGBT) people, and journalists.
The state of women's rights, and a British tourism executive hired to promote Qatar dying under suspicious circumstances have also been sources of controversy. In a December 2021 interview with Al Jazeera, FIFA's secretary-general Fatma Samoura said that FIFA had developed a general framework to structure and guide the implementation of its human rights responsibilities and commitment, published in 2017, and that Qatar had implemented those recommendations.",210
List of 2022 FIFA World Cup controversies,LGBT issues,"Because of Islamic sharia law, there are no LGBT rights in Qatar, with homosexuality as well as campaigning for LGBT rights criminalised. As such, when Qatar was selected to host the 2022 FIFA World Cup, the choice to do so in a restrictive nation saw much criticism, with several topics becoming the subject of controversy. The security of fans, as well as the homophobic football chants of certain nations, were points of discussion.The main controversy came from a last-minute FIFA decision to hand out player punishments to European captains who had months earlier announced their intention to continue wearing rainbow-coloured armbands (which began in 2020) in support of anti-discrimination; though not specifically in support of LGBT+ rights, nor targeting Qatar's lack, the rainbow symbol was deemed offensive to the hosts. Typically, kit violations incur a fine, which the teams had said they would pay; on the day of the first match involving one of the European teams, FIFA told the teams that they would receive a yellow card as a minimum.Security officials at stadiums also confiscated items of rainbow clothing, flags featuring rainbows, whether Pride-related or not, and reportedly intimidated fans. American journalist Grant Wahl was briefly detained for wearing a t-shirt with a rainbow on it.",257
List of 2022 FIFA World Cup controversies,Environmental impact,"Each stadium in Qatar requires 10,000 litres of water per day in winter months, when the tournament is taking place, to maintain the pitch. With little access to freshwater in the nation, the sourced water was saltwater, which has to be desalinated. The process damages the marine environment. Desalination plants in the Middle East also heavily rely on the use of fossil fuels. As well as the pitches at the stadiums, the organising committee grew and maintained a large farm of match-suitable fresh grass outside Doha, in case of turf damage. The need for so much desalination, and the oil and gas used to power the plants, have been criticised.One of the eight stadiums, Stadium 974, was designed to be able to be disassembled so that it could be moved elsewhere, in an effort to counter the negative effect of requiring upkeep of unused stadiums. The large PR campaign promoting this was criticised by activists, as it overlooked the other stadiums being constructed in Qatar. Stadium 974 and the organising committee pledge that the tournament would be carbon neutral were also criticised as attempts to greenwash Qatar, the nation with the highest per-capita CO2 emissions, especially as carbon neutrality was planned to be achieved by planting trees to offset emissions generated by the tournament, rather than use alternative energies. Stadium 974, located at a port, does not have air conditioning; due to the climate of Qatar, the other seven stadiums do, with the systems running on fossil fuels.",304
List of 2022 FIFA World Cup controversies,Corruption,"There have been allegations of bribery or corruption in the Qatar's 2022 World Cup selection process involving members of FIFA's executive committee. There have been numerous allegations of bribery between the Qatar bid committee and FIFA members and executives, some of whom—including Theo Zwanziger and Sepp Blatter—were later recorded regretting awarding Qatar the tournament.",72
List of 2022 FIFA World Cup controversies,2011,"In May 2011, allegations of corruption within the FIFA senior officials raised questions over the legitimacy of the World Cup being held in Qatar. According to then vice-president Jack Warner, an email has been publicised about the possibility that Qatar 'bought' the 2022 World Cup through bribery via Mohammed bin Hammam who was president of the Asian Football Confederation at the time. Qatar's officials in the bid team for 2022 have denied any wrongdoing. A whistleblower, revealed to be Phaedra Almajid, alleged that several African officials were paid $1.5m by Qatar. She later retracted her claims of bribery, stating she had fabricated them in order to exact revenge on the Qatari bid team for relieving her of her job with them. She also denied being put under any pressure to make her retraction. FIFA confirmed receiving an email from her which stated her retraction.",179
List of 2022 FIFA World Cup controversies,2014–15,"In March 2014, it was alleged that a firm linked to Qatar's successful campaign paid committee member Jack Warner and his family almost $2 million. The Daily Telegraph reported that it understands that the U.S. FBI is investigating Warner and his alleged links to the Qatari bid.On 1 June 2014, The Sunday Times claimed to have obtained documents including e-mails, letters and bank transfers which allegedly proved that Bin Hammam had paid more than 5 million US dollars to Football officials to support the Qatar bid. Bin Hamman and all those accused of accepting bribes denied the charges.Later in June 2014, Qatar Airways CEO Akbar Al Baker gave an interview to German media in June 2014 stating that the allegations are being driven by envy and mistrust by parties who do not want the World Cup staged in Qatar, and that the country is not getting the respect it deserves over its efforts to hold the World Cup. He reiterated that the Qatari Emir strictly punishes and forbids instances of corruption and bribery with a zero-tolerance policy.In an interview published on 7 June 2015, Domenico Scala, the head of FIFA's Audit And Compliance Committee, stated that ""should there be evidence that the awards to Qatar and Russia came only because of bought votes, then the awards could be cancelled"".",261
List of 2022 FIFA World Cup controversies,FIFA ethics investigation report,"In 2014, FIFA appointed Michael Garcia as its independent ethics investigator to look into bribery allegations against Russia and Qatar, the hosts for the 2018 and 2022 World Cup respectively. Garcia investigated all nine bids and eleven countries involved in the 2018 and 2022 bids and spoke to all persons connected to the bids and appealed for witnesses to come forward with evidence. At the end of investigation, Garcia submitted a 430-page report in September 2015. FIFA governing body then appointed a German judge Hans Joachim Eckert who reviewed and presented a 42-page summary of the report two months later. The report cleared Qatar and Russia of bribery allegations stating that Qatar ""pulled Aspire into the orbit of the bid in significant ways"" but did not ""compromise the integrity"" of the overall bid process.Michael Garcia reacted almost immediately stating that the report is “materially incomplete” and with “erroneous representations of the facts and conclusions"". In 2017, a German journalist Peter Rossberg who claimed to have obtained the report wrote in a Facebook post that the report ""does not provide the proof that the 2018 or 2022 World Cup was bought"" and stated that he would publish the full report bit by bit. This forced FIFA to release the original report as authored by the investigator Michael Garcia. The full report did not provide any evidence of corruption against the host of 2022 World Cup but stated that bidders tested rules of conduct to the limit. The report ended talks of a re-vote.",305
List of 2022 FIFA World Cup controversies,2020,"In January, Bonita Mersiades, a whistle-blower from inside Australia's 2022 World Cup bid published a book which alleges that in the months before the vote in December 2010, FIFA executives were privately worried that a Qatar win would leave a financial shortfall for the governing body in 2022 which Al Jazeera (now beIN Sports) agreed a secret deal to pay $100 million if Qatar won the vote. According to the book, the deal took place with the involvement and knowledge of Jérôme Valcke, secretary general of FIFA at the time who was later banned for nine years from football for corruption. The Mail on Sunday asked beIN Sports about the allegations, in which a spokesman characterised the bonus as ""production contributions"" which were ""standard market practice and are often imposed upon broadcasters by sports federations and sports rights holders"".According to leaked documents obtained by The Sunday Times, Qatari state-run television channel Al Jazeera secretly offered $400 million to FIFA, for broadcasting rights, just 21 days before FIFA announced that Qatar will hold the 2022 World Cup. The contract also documented a secret TV deal between FIFA and Qatar's state run media broadcast Al Jazeera that $100 million will also be paid into a designated FIFA account only if Qatar wins the World Cup ballot in 2010. An additional $480 million was also offered by the State of Qatar government, three years after the initial offer, which brings the amount to $880 million offered by Qatar to host the 2022 World Cup. The documents are now part of the bribery inquiry by Swiss Police.FIFA refused to comment on the inquiry and responded to The Sunday Times in an email and wrote ""allegations linked to the FIFA World Cup 2022 bid have already been extensively commented by FIFA, who in June 2017 published the Garcia report in full on Fifa.com. Furthermore, please note that Fifa lodged a criminal complaint with the Office of the Attorney General of Switzerland, which is still pending. FIFA is and will continue to cooperate with the authorities."" A beIN spokesman said in a statement that the company would not ""respond to unsubstantiated or wildly speculative allegations.""Damian Collins, a British Member of Parliament (MP) and chairman of a UK parliamentary committee, called for payments from Al Jazeera to be frozen and launched an investigation into the apparent contract since the contract ""appears to be in clear breach of the rules"".Former UEFA president Michel Platini was arrested by French police on 18 June 2019 in relation to the rewarding of the 2022 World Cup to Qatar. He was detained at the Anti-Corruption Office of the Judicial Police outside Paris. The arrest represents the first substantial public move in an investigation into the Qatar decision opened two years ago by France's Parquet National Financier, which is responsible for law enforcement against serious financial crime.",567
